SubjectID,ConditionCode,Format,Complexity,N1,N2,CorrectAnswer,UserAnswer,Accuracy,RT_ms,WasEdited
Sub_9927,1,digit,no,62,23,85,85,1,2071,0
Sub_9927,3,word,no,33,34,67,67,1,10564,1
Sub_9927,2,digit,yes,49,39,88,88,1,2558,0
Sub_9927,4,word,yes,48,28,76,76,1,3323,0
Sub_9927,2,digit,yes,27,35,62,62,1,3169,0
Sub_9927,4,word,yes,47,27,74,74,1,5360,0
Sub_9927,1,digit,no,23,44,67,67,1,2719,0
Sub_9927,2,digit,yes,28,39,67,67,1,3643,0
Sub_9927,3,word,no,62,32,94,94,1,3636,0
Sub_9927,4,word,yes,25,28,53,53,1,3214,0
Sub_9927,3,word,no,62,14,76,76,1,5332,0
Sub_9927,1,digit,no,32,42,74,74,1,3881,0
Sub_9927,1,digit,no,21,32,53,53,1,3785,0
Sub_9927,2,digit,yes,27,29,56,56,1,3359,0
Sub_9927,2,digit,yes,26,27,53,53,1,2328,0
Sub_9927,3,word,no,52,22,74,74,1,3090,0
Sub_9927,3,word,no,61,22,83,83,1,4410,0
Sub_9927,4,word,yes,57,37,94,94,1,2938,0
Sub_9927,3,word,no,41,12,53,53,1,4059,0
Sub_9927,3,word,no,42,14,56,56,1,3840,0
Sub_9927,3,word,no,51,11,62,62,1,3257,0
Sub_9927,1,digit,no,51,32,83,83,1,4089,0
Sub_9927,4,word,yes,38,18,56,56,1,4406,0
Sub_9927,4,word,yes,46,37,83,83,1,7936,0
Sub_9927,3,word,no,54,34,88,88,1,6460,0
Sub_9859,1,digit,no,21,32,53,53,1,3554,0
Sub_9859,1,digit,no,32,42,74,74,1,2373,0
Sub_9859,2,digit,yes,26,27,53,53,1,4366,0
Sub_9859,2,digit,yes,49,39,88,88,1,5967,0
Sub_9859,4,word,yes,28,34,62,52,0,13356,0
Sub_9859,2,digit,yes,36,38,74,74,1,4423,0
Sub_9859,4,word,yes,29,38,67,67,1,6024,0
Sub_9859,3,word,no,54,34,88,88,1,5485,0
Sub_9859,2,digit,yes,59,26,85,85,1,5986,0
Sub_9859,1,digit,no,62,23,85,81,0,5647,0
Sub_9859,4,word,yes,48,37,85,85,1,13345,0
Sub_9859,2,digit,yes,39,37,76,76,1,4773,0
Sub_9859,4,word,yes,57,37,94,94,1,10974,0
Sub_9859,3,word,no,42,14,56,56,1,4553,0
Sub_9859,3,word,no,62,14,76,76,1,3574,0
Sub_9859,2,digit,yes,45,38,83,93,0,17306,1
Sub_9859,1,digit,no,51,32,83,83,1,5415,0
Sub_9859,4,word,yes,59,29,88,87,0,9762,0
Sub_9859,3,word,no,51,11,62,62,1,8166,0
Sub_9859,1,digit,no,22,34,56,56,1,11313,0
Sub_9859,1,digit,no,23,44,67,67,1,9239,0
Sub_9859,1,digit,no,64,24,88,88,1,3163,0
Sub_9859,1,digit,no,72,22,94,94,1,3772,0
Sub_9859,3,word,no,61,22,83,83,1,6299,0
Sub_9859,2,digit,yes,27,35,62,62,1,4543,0
Sub_9859,3,word,no,62,32,94,94,1,8545,0
Sub_9859,1,digit,no,52,24,76,76,1,8686,0
Sub_9859,4,word,yes,25,28,53,53,1,6254,0
Sub_9859,4,word,yes,38,18,56,56,1,8277,0
Sub_9859,3,word,no,33,34,67,67,1,4818,0
Sub_9859,2,digit,yes,28,39,67,67,1,9188,0
Sub_9859,3,word,no,41,12,53,53,1,6991,0
Sub_9859,4,word,yes,48,28,76,76,1,8864,0
Sub_9859,1,digit,no,41,21,62,62,1,4468,0
Sub_9859,2,digit,yes,27,29,56,56,1,3814,0
Sub_9859,3,word,no,52,22,74,74,1,4702,0
Sub_9859,3,word,no,52,33,85,85,1,7602,0
Sub_9859,4,word,yes,46,37,83,83,1,8131,0
Sub_9859,2,digit,yes,48,46,94,94,1,4192,0
Sub_9859,4,word,yes,47,27,74,74,1,19533,0
Sub_5253,2,digit,yes,45,38,83,83,1,6283,0
Sub_5253,2,digit,yes,27,29,56,56,1,11915,1
Sub_5253,4,word,yes,48,37,85,85,1,5955,0
Sub_5253,2,digit,yes,49,39,88,88,1,2851,0
Sub_5253,1,digit,no,23,44,67,67,1,3278,0
Sub_5253,1,digit,no,64,24,88,88,1,3011,0
Sub_5253,3,word,no,62,14,76,76,1,6020,0
Sub_5253,4,word,yes,57,37,94,84,0,7197,0
Sub_5253,4,word,yes,59,29,88,88,1,5485,0
Sub_5253,4,word,yes,38,18,56,56,1,5045,0
Sub_5253,4,word,yes,48,28,76,86,0,8076,1
Sub_5253,1,digit,no,21,32,53,53,1,5140,0
Sub_5253,3,word,no,42,14,56,56,1,7532,0
Sub_5253,3,word,no,41,12,53,53,1,7981,0
Sub_5253,2,digit,yes,27,35,62,62,1,4376,0
Sub_5253,3,word,no,52,22,74,74,1,4180,0
Sub_5253,3,word,no,62,32,94,94,1,3116,0
Sub_5253,4,word,yes,25,28,53,53,1,3125,0
Sub_5253,4,word,yes,28,34,62,62,1,4835,0
Sub_5253,3,word,no,54,34,88,88,1,4438,0
Sub_5253,2,digit,yes,36,38,74,74,1,4494,0
Sub_5253,2,digit,yes,26,27,53,53,1,2760,0
Sub_5253,1,digit,no,22,34,56,56,1,7622,0
Sub_5253,1,digit,no,51,32,83,83,1,4310,0
Sub_5253,4,word,yes,29,38,67,67,1,12528,0
Sub_5253,1,digit,no,41,21,62,62,1,2865,0
Sub_5253,3,word,no,51,11,62,62,1,3277,0
Sub_5253,3,word,no,52,33,85,85,1,4875,0
Sub_5253,2,digit,yes,39,37,76,76,1,8320,0
Sub_5253,1,digit,no,72,22,94,94,1,2576,0
Sub_5253,4,word,yes,47,27,74,74,1,8433,1
Sub_5253,1,digit,no,62,23,85,85,1,6848,0
Sub_5253,2,digit,yes,48,46,94,94,1,5937,0
Sub_5253,2,digit,yes,28,39,67,67,1,7081,0
Sub_5253,1,digit,no,52,24,76,76,1,5976,0
Sub_5253,2,digit,yes,59,26,85,85,1,4804,0
Sub_5253,3,word,no,61,22,83,83,1,4538,0
Sub_5253,4,word,yes,46,37,83,83,1,7200,0
Sub_5253,3,word,no,33,34,67,67,1,3184,0
Sub_5253,1,digit,no,32,42,74,74,1,4757,0
Sub_4834,3,word,no,61,22,83,83,1,5821,0
Sub_4834,2,digit,yes,59,26,85,85,1,5208,0
Sub_4834,4,word,yes,48,37,85,85,1,8835,0
Sub_4834,1,digit,no,64,24,88,88,1,2287,0
Sub_4834,3,word,no,54,34,88,88,1,5189,0
Sub_4834,1,digit,no,51,32,83,83,1,4220,0
Sub_4834,4,word,yes,46,37,83,83,1,5028,0
Sub_4834,4,word,yes,47,27,74,77,0,9963,0
Sub_4834,1,digit,no,23,44,67,67,1,4739,0
Sub_4834,2,digit,yes,45,38,83,83,1,4749,0
Sub_4834,4,word,yes,38,18,56,66,0,12636,0
Sub_4834,1,digit,no,41,21,62,62,1,7860,0
Sub_4834,1,digit,no,32,42,74,74,1,6016,0
Sub_4834,3,word,no,52,33,85,85,1,8751,0
Sub_4834,1,digit,no,21,32,53,53,1,9033,0
Sub_4834,2,digit,yes,27,35,62,62,1,17478,0
Sub_4834,2,digit,yes,39,37,76,76,1,6317,0
Sub_4834,2,digit,yes,27,29,56,56,1,4754,0
Sub_4834,4,word,yes,48,28,76,76,1,6090,0
Sub_4834,4,word,yes,29,38,67,67,1,6452,0
Sub_4834,3,word,no,52,22,74,77,0,2486,0
Sub_4834,2,digit,yes,36,38,74,84,0,3597,0
